sweep,size,algorithm,probability_numerator,probability_denominator,probability,seed,request_id,status,message_correct,sender_note,received_bits,source_bits,redundancy_bits,reported_flipped_bits,detected_units,corrected_bits,uncorrectable_units,overhead_ratio
main,8,crc32-iso-hdlc,1,10000,0.0001,16,main-57,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,17,main-58,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,18,main-59,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,19,main-60,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,0,main-61,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,1,main-62,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,2,main-63,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,3,main-64,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,4,main-65,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,5,main-66,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,6,main-67,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,7,main-68,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,8,main-69,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,9,main-70,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,10,main-71,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,11,main-72,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,12,main-73,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,13,main-74,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,14,main-75,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,15,main-76,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,16,main-77,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,17,main-78,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,18,main-79,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,1000,0.001,19,main-80,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,0,main-81,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,1,main-82,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,2,main-83,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,3,main-84,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,4,main-85,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,200,0.005,5,main-86,detected_uncorrectable,,,96,64,32,3,1,0,1,0.5
main,8,crc32-iso-hdlc,1,200,0.005,6,main-87,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,7,main-88,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,8,main-89,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,200,0.005,9,main-90,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,200,0.005,10,main-91,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,200,0.005,11,main-92,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,12,main-93,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,13,main-94,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,14,main-95,detected_uncorrectable,,,96,64,32,2,1,0,1,0.5
main,8,crc32-iso-hdlc,1,200,0.005,15,main-96,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,16,main-97,detected_uncorrectable,,,96,64,32,1,1,0,1,0.5
main,8,crc32-iso-hdlc,1,200,0.005,17,main-98,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,200,0.005,18,main-99,ok,True,,96,64,32,0,0,0,0,0.5
